user_id,category_id,display_format_id,name,introduction,margin_top,margin_bottom,margin_left,margin_right,normalized_rows_sequence,is_torus
1,3,1,八角形,周期５のパターンです。,2,2,2,2,"12,2d,12,12,2d,12",FALSE
1,3,1,時計,周期２のパターンです。,1,1,1,1,"2,c,3,4",FALSE
1,3,4,ヒキガエル,周期２のパターンです。,1,1,1,1,"6,8,1,6",FALSE
1,4,1,グライダー,ライフゲームにおける代表的な移動物体である。ライフゲームにおいて最初に発見された移動物体であり、最小の移動物体でもある。ライフゲームにおける代表的な移動物体である。ライフゲームにおいて最初に発見された移動物体であり、最小の移動物体でもある。ライフゲームにおける代表的な移動物体である。ライフゲームにおいて最初に発見された移動物体であり、最小の移動物体でもある。,4,4,1,7,"2,1,7",TRUE
1,4,1,グライダー ( not torus ),ライフゲームにおける代表的な移動物体である。ライフゲームにおいて最初に発見された移動物体であり、最小の移動物体でもある。,1,7,1,7,"2,1,7",FALSE
1,3,1,ビーコン,周期２のパターンです。ビーコンのように、変化するすべてのセルが過密で死亡する振動子を「On-Off」という。,1,1,1,1,"3,1,8,c",FALSE
1,3,1,Mix 1,ペンタデカスロンとギャラクシーが配置,3,3,3,5,"1bf0000,1bf0042,18000c3,1830042,1830000,1830000,30000,1fb0000,1fb0000",FALSE
1,2,1,ブロック,最も有名な固定物体,1,1,1,1,"3,3",FALSE
1,2,1,タブ,4ピクセルの固定物体である。,1,1,1,1,"2,5,2",FALSE
1,2,1,はしけ,タブが連なった、6ピクセルの固定物体である。,1,1,1,1,"2,5,a,4",FALSE
1,2,1,イーター,ライフゲームにおける固定物体の1つである。他の移動物体などを「食べて」しまうためこの名がつけられている。,1,1,1,1,"c,4,5,3",FALSE
1,2,1,蜂の巣,ライフゲームにおける固定物体である。この物体はブロックの次によくできる物体である。,1,1,1,1,"6,9,6",FALSE
1,5,1,グライダー銃,「グライダー」を永遠に打ち出し続ける。広義にはそのような、グライダーを打ち出し続けるパターンの総称である。,1,21,1,9,"800,2800,c0c003,110c003,c0208c000,c022c2800,2080800,1100000,c00000",FALSE
1,3,1,回転花火,周期4の振動子である。,1,1,1,1,"30,30,0,f0,d28,d48,11b,10b,f0,0,c0,c0",FALSE
1,4,1,軽量級宇宙船,グライダーの次に発見された移動物体である。水平方向に、1ピクセル/2単位時間の速度で進む。これは移動物体の限界の速さである。,1,3,2,6,"8,22,1,21,1f",TRUE
1,4,1,中量級宇宙船,水平方向に、1ピクセル/2単位時間の速度で進む。これは移動物体の限界の速さである。軽量級宇宙船 よりも長い。,1,2,1,7,"18,42,1,41,3f",TRUE
1,4,1,重量級宇宙船,水平方向に、1ピクセル/2単位時間の速度で進む。これは移動物体の限界の速さである。中量級宇宙船よりも長い。,1,3,2,5,"18,42,1,41,3f",TRUE
1,10,1,２個の信号灯,1x9のセルから２個の信号灯ができます。,5,5,6,6,1ff,FALSE
1,3,1,時計II,周期4の振動子である。,1,1,1,1,"30,30,0,f0,d08,d68,11b,10b,f0,0,c0,c0",FALSE
